,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,state,city
338,404691,Gramercy Place-month to month dorms,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04734,-118.31183,Shared room,35,30,27,2016-06-25,0.22,19,365,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
339,404795,Gramercy Place--dorm rooms available. Great Price!,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04738,-118.31411,Shared room,35,30,27,2020-02-20,0.22,19,340,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
343,635213,Beautiful room in Pasadena home,3164742,Audrey,Other Cities,Pasadena,34.15438,-118.08306,Private room,70,1,165,2022-09-07,1.36,2,8,16,SRH2018-00019,CA,Los Angeles
345,669590,MY HOLLYWOOD SPACE RENTAL 18,2622454,Mary,City of Los Angeles,Hollywood,34.09995,-118.32801,Private room,65,30,472,2021-07-29,3.87,10,310,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
349,533646,MY HOLLYWOOD SPACE RENTAL 15,2622454,Mary,City of Los Angeles,Hollywood,34.10038,-118.33003,Private room,65,30,605,2022-05-06,4.9,10,252,2,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
350,639363,"Artistic & cozy home, Venice, CA",3191837,Masha,City of Los Angeles,Mar Vista,33.99849,-118.43987,Entire home/apt,237,30,76,2021-11-28,0.62,1,241,1,HSR20-002523,CA,Los Angeles
351,533884,Beautiful quiet/ studio/ bath/ garden & bikes B,1776981,Carrie,Other Cities,El Segundo,33.91961,-118.42146,Private room,80,2,427,2022-08-27,3.43,4,279,81,43181,CA,Los Angeles
352,669955,Life is Good in Los Angeles B&B HSR19-004088,3393312,Ronit,City of Los Angeles,Sherman Oaks,34.16276,-118.46502,Private room,141,2,54,2022-01-01,0.44,1,207,4,HSR19-004088,CA,Los Angeles
354,674784,Mediterranean Oasis with  Pool!,3426647,Pete,City of Los Angeles,Valley Village,34.16188,-118.39776,Entire home/apt,443,7,27,2022-08-26,0.31,1,120,6,HSR22-001086,CA,Los Angeles
355,534552,Amazing VIEWS - Silverlake home,1647272,Bianca,City of Los Angeles,Silver Lake,34.08523,-118.27088,Entire home/apt,250,30,9,2018-09-12,0.08,3,364,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
357,537363,Relax with a View at a Spanish-style Hilltop Home,2639652,Alex,City of Los Angeles,Highland Park,34.11599,-118.18593,Entire home/apt,139,30,167,2022-08-31,1.44,1,163,3,HSR19-001427,CA,Los Angeles
359,643866,Private Guest Suite Close to the Beach,3220633,Heather,City of Los Angeles,Westchester,33.96523,-118.43159,Private room,132,30,141,2021-03-18,1.42,1,89,0,HSR19-002851,CA,Los Angeles
362,644008,MY HOLLYWOOD SPACE RENTAL 16,2622454,Mary,City of Los Angeles,Hollywood,34.1016,-118.32992,Private room,65,30,484,2022-03-07,3.95,10,252,2,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
365,644009,MY HOLLYWOOD SPACE RENTAL 17,2622454,Mary,City of Los Angeles,Hollywood,34.10239,-118.32851,Private room,65,30,494,2022-07-14,4.05,10,340,3,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
368,646570,Trendy Urban Living/echo park,2305260,Joanne,City of Los Angeles,Echo Park,34.07464,-118.25778,Entire home/apt,139,30,47,2022-06-28,0.4,3,296,2,HSR19-004945,CA,Los Angeles
377,542016,Venice Garden Paradise Private Room,2665108,Angela,City of Los Angeles,Venice,33.99495,-118.4549,Private room,129,30,262,2022-08-17,2.11,4,341,30,HSR19-002622,CA,Los Angeles
378,661903,Peaceful Topanga Canyon Pool Home,3238908,Carin,City of Los Angeles,Woodland Hills,34.15858,-118.61546,Private room,66,30,40,2022-02-27,0.33,2,253,2,HSR19-003306,CA,Los Angeles
380,546663,West LA charmer w/pool sleeps 4-6.  HSR22-000493,2528129,Bianca,City of Los Angeles,Rancho Park,34.03327,-118.42568,Entire home/apt,400,30,17,2021-11-29,0.23,1,236,1,HSR19-001168,CA,Los Angeles
385,552851,Modern Home with Ocean Breezes,2717177,Sarah,City of Los Angeles,Del Rey,33.98854,-118.43798,Entire home/apt,215,30,7,2019-08-01,0.07,1,82,0,HSR19-005546,CA,Los Angeles
391,752388,Quiet/Cozy Venice Beach - 1 BDR APT,3655118,Joe & Judy,City of Los Angeles,Venice,33.98218,-118.4703,Entire home/apt,128,30,387,2022-07-19,3.27,1,334,3,Exempt - This listing is a bed and breakfast,CA,Los Angeles
393,688583,Stylish Suite in Silver Lake,3515462,Walter,City of Los Angeles,Silver Lake,34.08974,-118.27021,Entire home/apt,95,3,155,2022-09-05,1.34,1,185,22,HSR19-001008,CA,Los Angeles
394,862186,Plant Lovers Guesthouse Nestled in Tropical Pool Oasis,634440,Amara,City of Los Angeles,Reseda,34.19134,-118.52282,Entire home/apt,254,1,483,2022-09-08,4.65,1,322,92,HSR19-002315,CA,Los Angeles
396,752540,3BR House in LA-Gorgeous view/ Pool,6455021,Payman,City of Los Angeles,Woodland Hills,34.17635,-118.57944,Entire home/apt,529,2,204,2022-08-30,1.71,1,343,15,HSR19-002284,CA,Los Angeles
398,755837,Traditional Grandeur in the Hollywood Hills,3953867,Keller,City of Los Angeles,Hollywood Hills,34.10813,-118.34098,Entire home/apt,400,5,56,2022-06-03,0.52,2,47,6,HSR19-002137,CA,Los Angeles
399,693634,Marina Del Rey Area Prime Location,3548344,Franco,City of Los Angeles,Del Rey,33.98435,-118.42873,Entire home/apt,219,3,106,2022-08-21,0.89,1,230,20,HSR19-004153,CA,Los Angeles
400,868801,Santa Monica - Super loft-studio,4577233,Linda,Other Cities,Santa Monica,34.01099,-118.47314,Entire home/apt,137,4,235,2022-09-08,2.0,1,14,30,215691,CA,Los Angeles
414,873218,"Gorgeous, remodeled, private home Woodland Hills",4588522,Hannah,City of Los Angeles,Woodland Hills,34.17075,-118.6194,Entire home/apt,250,30,7,2014-07-27,0.06,1,358,0,HSR19-002750,CA,Los Angeles
417,770046,Charming Hidden Spanish Bungalow in the Heart of Hollywood,2972149,Will,City of Los Angeles,Hollywood,34.09351,-118.32837,Entire home/apt,132,30,383,2022-06-26,4.61,1,155,4,HSR19-003547,CA,Los Angeles
420,776201,STUDENT HOUSING---month to month at Gramercy Place,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04795,-118.31315,Shared room,40,30,23,2022-06-22,0.2,19,288,2,Exempt - This listing is a hotel or motel,CA,Los Angeles
432,781313,Craftsman Private Suite - Rose Bowl/Old Town/JPL,4120944,Laura,Other Cities,Pasadena,34.16283,-118.13643,Private room,100,3,152,2022-09-05,1.29,1,218,25,SRH2018-00022,CA,Los Angeles
434,890924,NoHo Arts - Guest Room,4732895,Christopher,City of Los Angeles,North Hollywood,34.1795,-118.37155,Private room,42,7,70,2022-07-05,0.63,3,114,3,HSR19-001264,CA,Los Angeles
436,713490,Siverlake home close to Hollywood,3672482,Bi,City of Los Angeles,Silver Lake,34.07783,-118.2766,Entire home/apt,139,30,25,2022-08-17,0.26,2,313,3,HSR19-002640,CA,Los Angeles
437,892469,Audrey Hepburn room-I'm Australian,4743375,Rebekah The Aussie,City of Los Angeles,Arlington Heights,34.03858,-118.32636,Private room,99,30,248,2022-01-31,2.14,3,364,1,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
456,798535,Detached Silver Lake Studio - Middle of it all!,2149233,Ann,City of Los Angeles,Silver Lake,34.10722,-118.26281,Entire home/apt,106,3,228,2022-09-06,3.23,1,200,65,HSR19-000506,CA,Los Angeles
457,801336,B&B Walk to Beach - Breezy Homebase,884702,June,Other Cities,Santa Monica,34.00236,-118.47622,Private room,100,2,493,2020-03-15,5.55,2,0,0,215848,CA,Los Angeles
462,727815,Lovely house a block to beach 2 bikes pet friendly,3772506,Bella Casa,Other Cities,Santa Monica,34.02301997024004,-118.50538201788356,Entire home/apt,158,1,20,2013-08-02,0.17,3,135,0,228012,CA,Los Angeles
470,730669,Charming English Country Cottage in Laurel Canyon,2738689,Dawn,City of Los Angeles,Hollywood Hills West,34.10654,-118.36747,Entire home/apt,325,5,19,2022-05-16,0.18,1,4,11,HSR21-001273,CA,Los Angeles
475,913270,Be Working from Here,4902248,Helen,City of Los Angeles,Hollywood Hills,34.13039,-118.34505,Private room,108,1,225,2021-12-09,1.93,3,242,4,HSR21-001447,CA,Los Angeles
477,810082,Room in Hillside Home with Skyline Views,4260628,Darrell,City of Los Angeles,Hollywood Hills West,34.10051,-118.37997,Private room,175,2,353,2022-07-17,3.01,2,240,10,HSR19-001320,CA,Los Angeles
479,915336,Venice Garden Retreat Guest House,4812255,Christopher,City of Los Angeles,Venice,33.99932,-118.45371,Private room,249,3,216,2022-09-04,1.92,1,78,22,HSR19-003411,CA,Los Angeles
490,819960,Your Own Guesthouse! Private/Sunny,4306634,Karin And Sean,City of Los Angeles,Sherman Oaks,34.14914,-118.45581,Entire home/apt,120,30,95,2020-01-20,0.82,1,0,0,HSR19-002995,CA,Los Angeles
491,921800,Quiet guest suite in central LA. Super convenient!,4956771,Anne,City of Los Angeles,Mid-City,34.03956,-118.33178,Entire home/apt,99,30,85,2020-11-23,1.35,1,66,0,HSR19-004174,CA,Los Angeles
493,733673,Classic 1940's Villa in the Hollywood Hills,462242,Robert,City of Los Angeles,Hollywood Hills,34.1152,-118.31863,Entire home/apt,695,3,26,2022-08-15,0.26,1,63,14,HSR21-001036,CA,Los Angeles
494,921828,Large Beach House - Great for families,66096,Andrew,Other Cities,Santa Monica,34.00025,-118.47771,Private room,579,4,6,2021-07-09,0.08,1,251,0,228380,CA,Los Angeles
495,734774,QUAINT COZY CHARMING COTTAGE,3831954,Jennifer,City of Los Angeles,Harvard Heights,34.04245,-118.30607,Entire home/apt,170,30,37,2022-07-30,0.32,2,365,3,HSR19-005208,CA,Los Angeles
502,932354,Artfully Designed Studio Cottage in Venice,2566215,Jo-Ann,City of Los Angeles,Venice,33.994068,-118.46257,Entire home/apt,240,31,322,2022-07-23,2.77,4,345,16,HSR19-003921,CA,Los Angeles
503,737112,1 Spacious private Suite Venice Central,3543207,Jessica,City of Los Angeles,Venice,33.99736,-118.46766,Entire home/apt,119,2,628,2022-09-09,5.27,1,231,87,HSR19-002521,CA,Los Angeles
504,934139,Bedroom in Santa Monica Townhouse,5038295,Vera,Other Cities,Santa Monica,34.02582,-118.46326,Private room,95,2,64,2022-05-02,0.7,2,0,8,227920,CA,Los Angeles
506,934488,Modern Studio Loft + Roof Deck Steps from Beach,706094,Lisa,City of Los Angeles,Venice,33.98353,-118.4697,Entire home/apt,265,2,364,2022-08-26,3.15,1,34,65,HSR22-001529,CA,Los Angeles
512,832900,Calm Casita - Modern Wellness Sanctuary,84714,Kris & Danielle,City of Los Angeles,Mar Vista,33.99854,-118.42428,Entire home/apt,217,30,132,2022-05-08,2.67,1,174,24,HSR19-004849,CA,Los Angeles
513,934688,PRIVATE ROOM (SINGLE) IN VENICE BEACH HOSTEL,1254174,Felix,City of Los Angeles,Venice,33.98887,-118.47356,Private room,69,30,2,2021-01-01,0.02,6,0,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
515,937869,Gorgeous Views of Hills-PrivateRoom,5063938,Sheena,City of Los Angeles,Woodland Hills,34.14954,-118.5951,Private room,115,2,27,2022-05-22,0.24,2,174,4,HSR19-002458,CA,Los Angeles
517,738427,Heart of Hollywood Pink House Guest House!,3858964,Charlotte,City of Los Angeles,Hollywood,34.0945,-118.32621,Entire home/apt,146,6,186,2022-06-07,1.55,2,256,10,HSR20-001416,CA,Los Angeles
518,939688,Malibu Beachfront Penthouse,5076940,Samir,Other Cities,Malibu,34.03309,-118.74573,Entire home/apt,1561,3,95,2022-08-30,0.96,1,180,9,STR20-0012,CA,Los Angeles
519,739143,Lovely guest house with garden and patio,3865105,Michelle,City of Los Angeles,Fairfax,34.08282,-118.35294,Entire home/apt,130,30,107,2022-08-17,0.96,3,36,5,HSR19-001138,CA,Los Angeles
527,945586,Hollywood Villa. The best location!,5122857,Roland,City of Los Angeles,Hollywood Hills West,34.102474,-118.363663,Entire home/apt,1106,2,85,2022-09-07,0.73,1,153,26,HSR21-001229,CA,Los Angeles
529,945663,Casa Sycamore Pool + Gated Estate 2 Master Suites,5123369,Herbert,City of Los Angeles,Hancock Park,34.06461,-118.34185,Entire home/apt,850,5,9,2022-05-16,0.08,1,51,3,HSR19-005452,CA,Los Angeles
530,844353,"N. Bel Air GATED HOME, POOL, SPA, VIEW-",4408146,Sergio And Dom,City of Los Angeles,Sherman Oaks,34.13048,-118.46677,Entire home/apt,896,30,7,2020-07-26,0.06,1,87,0,HSR19-005615,CA,Los Angeles
532,945759,Luxury Spanish Beach Home,1776981,Carrie,Other Cities,El Segundo,33.91857,-118.42108,Entire home/apt,369,4,50,2022-08-29,0.45,4,225,30,43181,CA,Los Angeles
535,844386,"Ocean/Sunset views 2Dream of /Private Home,parking",4408313,Victoria,City of Los Angeles,Playa del Rey,33.95116,-118.4451,Entire home/apt,513,6,120,2022-07-24,1.08,1,322,14,HSR21-000530,CA,Los Angeles
536,948999,Sunny Room in 50s Mid Mod Delight,3059666,Jean,Other Cities,Long Beach,33.83315,-118.18019,Private room,88,1,109,2022-07-08,0.96,6,49,17,NRP21-00164,CA,Los Angeles
537,845314,"Prime Silver Lake! Walkable, Private, Clean, Gated",4412791,Oren And Kara,City of Los Angeles,Silver Lake,34.08334,-118.27363,Entire home/apt,164,3,220,2022-09-08,1.87,1,57,48,HSR19-000682,CA,Los Angeles
538,746115,Million Dollar View!,3913511,Scott,City of Los Angeles,Hollywood Hills West,34.10057,-118.37408,Entire home/apt,226,3,216,2022-09-03,2.03,1,213,71,HSR19-000365,CA,Los Angeles
539,950208,1927 Spanish Castle w/private bathroom & entrance,5154680,Kathy,City of Los Angeles,Beverly Grove,34.08044,-118.36695,Private room,75,30,90,2022-07-06,0.79,2,203,5,HSR19-002896,CA,Los Angeles
542,849360,Chic Yoga Villa & Saltwater Pool Sunset Junction Silverlake.,4434583,Fitzjoy,City of Los Angeles,Silver Lake,34.09386,-118.27895,Entire home/apt,521,2,240,2022-08-31,2.05,1,86,22,HSR21-003110,CA,Los Angeles
544,951044,Lil Zen Den Studio-Aussie-CentraLA,4743375,Rebekah The Aussie,City of Los Angeles,Arlington Heights,34.0375,-118.3253,Entire home/apt,99,30,325,2022-05-03,2.98,3,269,2,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
546,951058,French Cosy Rm-Aussie-Happy Energy,4743375,Rebekah The Aussie,City of Los Angeles,Arlington Heights,34.03858,-118.32636,Private room,99,30,245,2021-08-02,2.28,3,269,0,HSR19-003297,CA,Los Angeles
549,951515,Townhouse at the Beach,3041,Yoga Priestess,Other Cities,Santa Monica,34.00317,-118.47928,Entire home/apt,297,1,32,2022-08-04,0.28,2,307,11,228269,CA,Los Angeles
551,852580,LA Grove / Miracle Mile Area,4451028,Max,City of Los Angeles,Mid-Wilshire,34.0574,-118.35775,Private room,73,30,131,2021-04-20,1.12,1,156,0,HSR19-005875,CA,Los Angeles
555,749702,Charming Bel Air Get Away,3940325,Rainy And Michael,City of Los Angeles,Beverly Crest,34.09119,-118.43816,Entire home/apt,235,30,4,2013-09-13,0.03,1,0,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
558,967783,Touch of Big Sur near Venice Beach,5280356,Paul,City of Los Angeles,Mar Vista,34.002216,-118.432892,Private room,78,1,320,2022-08-09,2.76,2,2,20,HSR21-001142,CA,Los Angeles
559,854589,Private bedroom in eclectic home.,3982520,Louie & Agla,City of Los Angeles,West Adams,34.02778,-118.36516,Private room,64,30,133,2020-03-14,1.6,1,0,0,HSR19-000302,CA,Los Angeles
560,958435,Architectural Masterpiece with Roof Deck,1795029,Raymond,City of Los Angeles,Venice,33.98302,-118.46284,Entire home/apt,932,1,491,2022-09-02,4.24,1,166,74,HSR22-000877,CA,Los Angeles
562,860446,Private Room/Bath in Santa Monica,4506695,Donna,Other Cities,Santa Monica,34.02715,-118.49267,Private room,116,2,317,2022-08-18,2.69,2,10,29,228372,CA,Los Angeles
563,969436,Loft-Style Guest House with Private pool/backyard.,5294171,Justin,City of Los Angeles,Sherman Oaks,34.14791,-118.46739,Entire home/apt,230,3,26,2021-07-06,0.25,2,338,0,HSR22-002569,CA,Los Angeles
574,975453,Chef Owned Guest Suite Prvt Studio w/own back yard,5335305,Todd,City of Los Angeles,Mid-City,34.0415,-118.33888,Entire home/apt,119,1,355,2022-09-05,3.12,2,128,84,HSR22-000032,CA,Los Angeles
576,961852,Paradise Hot Tub Tree House,3636235,Ari,City of Los Angeles,Silver Lake,34.08619,-118.26862,Entire home/apt,493,2,248,2022-08-25,2.16,1,2,33,HSR20-001652,CA,Los Angeles
578,975929,Zen House with Sauna and Spectacular Views,3608303,Veronica,City of Los Angeles,Hollywood Hills,34.12274,-118.35758,Entire home/apt,875,3,37,2022-06-19,0.32,2,345,1,HSR19-004207,CA,Los Angeles
580,964803,Large Trendy 1 bdrm Condo in Silverlake,5260212,Swaga,City of Los Angeles,Silver Lake,34.10584,-118.25647,Entire home/apt,90,5,56,2022-08-29,0.63,1,0,8,HSR19-001543,CA,Los Angeles
582,978823,Sleep 6✔ 2 Bedroom 2 Bath Parking +Wash &D,1270782,William,Other Cities,Long Beach,33.78985,-118.2037,Entire home/apt,231,5,42,2022-07-06,0.38,7,365,4,NRP21-00137,CA,Los Angeles
583,1090649,Great Modern Venice Beach House,662129,Verena,City of Los Angeles,Venice,33.99706,-118.44991,Entire home/apt,500,30,7,2017-07-30,0.06,2,193,0,HSR19-002695,CA,Los Angeles
585,1092952,Los Angeles Hillside Guesthouse,6005593,Sue And Gideon,City of Los Angeles,Echo Park,34.08678,-118.24957,Entire home/apt,110,2,409,2022-01-15,3.6,1,157,9,HSR19-000014,CA,Los Angeles
586,1204042,Quiet room beautiful Pasadena home,3164742,Audrey,Other Cities,Pasadena,34.15356,-118.08504,Private room,65,1,187,2022-09-05,1.68,2,265,46,SRH2018-00019,CA,Los Angeles
592,1097756,"Modern Gorgeous ""treehouse"" Tree View Hill Home",5063938,Sheena,City of Los Angeles,Woodland Hills,34.14807,-118.59683,Entire home/apt,367,3,80,2022-08-15,0.72,2,344,13,HSR19-002458,CA,Los Angeles
595,1212897,Charming getaway near Venice Beach,6328783,Amadea,City of Los Angeles,Mar Vista,33.99743,-118.44018,Entire home/apt,255,14,1,2015-02-19,0.01,1,165,0,HSR22-002032,CA,Los Angeles
596,984743,Mid Century Hollywood Hills / Hollywood Sign,2400215,Paula,City of Los Angeles,Hollywood Hills,34.12793,-118.32083,Entire home/apt,325,2,153,2022-09-04,1.35,1,294,41,HSR21-000702,CA,Los Angeles
598,1213127,Hip Tree-Top Spacious Venice Loft!,4983491,Cynthia & Gustavo,City of Los Angeles,Venice,33.99977,-118.44954,Entire home/apt,215,3,238,2022-09-04,2.13,1,318,53,HSR20-000657,CA,Los Angeles
599,1101477,"Secret Patio Garden, Harp Music & Breakfast!",1810141,Carolyn,Other Cities,Pasadena,34.16141,-118.10509,Private room,89,2,36,2022-07-07,0.33,1,360,3,SRH-2018-00018,CA,Los Angeles
604,1214414,room with bathroom  in Silver Lake,1167240,Olena,City of Los Angeles,Silver Lake,34.09338,-118.26108,Private room,50,30,51,2020-02-29,0.45,1,141,0,HSR19-004135,CA,Los Angeles
606,1217295,Highland Park-Entire Home Quiet 1920's Bungalow,6169252,Judy,City of Los Angeles,Highland Park,34.10948,-118.19055,Entire home/apt,203,4,17,2022-09-03,1.73,1,299,17,HSR21-002621,CA,Los Angeles
616,1108077,Balinese haven with pool 15 minutes from the beach,2734452,Christine,City of Los Angeles,Palms,34.01798,-118.41585,Entire home/apt,450,6,2,2022-07-13,0.02,1,248,1,HSR22-001259,CA,Los Angeles
618,1109439,Bright Updated Venice Beach House,329040,Leigh And Stefanie,City of Los Angeles,Venice,33.99635,-118.46916,Entire home/apt,215,2,437,2022-08-30,3.86,1,286,55,HSR21-003031,CA,Los Angeles
620,1220178,Fabulous Ocean Views at Malibu 2BR Getaway,6656138,Larry,Other Cities,Malibu,34.04181,-118.88698,Entire home/apt,382,2,4,2022-08-04,0.48,2,315,4,STR20-0074,CA,Los Angeles
621,1010168,Stay at the Pink House Bungalow!,3858964,Charlotte,City of Los Angeles,Hollywood,34.09252,-118.32771,Entire home/apt,229,6,3,2022-09-03,3.0,2,299,3,HSR20-001416,CA,Los Angeles
623,1220414,Vintage Craftsman House with Pool,631693,Daniel,City of Los Angeles,Mid-Wilshire,34.05424,-118.3573,Entire home/apt,443,4,258,2022-09-02,3.67,1,92,37,HSR21-002630,CA,Los Angeles
625,1011146,Amazing Hollywood Hills home with pool,5552765,Katrina & Jason,Other Cities,Beverly Hills,34.11084,-118.39099,Entire home/apt,800,30,6,2021-08-13,0.16,1,0,0,HSR21-000900,CA,Los Angeles
626,1220989,"Observatory Views, Oasis Gardens & Giant Tortoise",6660841,Kareen,City of Los Angeles,Silver Lake,34.10630014012952,-118.26980281575804,Entire home/apt,318,4,22,2022-08-27,0.23,2,334,2,HSR22-001418,CA,Los Angeles
629,1221430,Beverly Hills Art Deco Guestroom,5555726,Randy,City of Los Angeles,Mid-City,34.04439,-118.38563,Private room,60,6,154,2022-08-28,1.55,1,55,20,HSR19-001114,CA,Los Angeles
631,1013865,Venice Architectural Dream Suite,2665108,Angela,City of Los Angeles,Venice,33.99556,-118.45307,Private room,121,30,205,2022-08-23,2.18,4,156,29,HSR19-002622,CA,Los Angeles
632,1013877,Room at the beach in Santa Monica,5577457,Annie,Other Cities,Santa Monica,34.00135,-118.47714,Private room,70,2,120,2022-09-05,1.1,1,265,9,215435,CA,Los Angeles
633,1223274,Peaceful & Convenient Studio,6672704,Diane,Other Cities,Santa Monica,34.01301,-118.48384,Entire home/apt,87,31,33,2022-08-18,0.53,1,131,4,219867,CA,Los Angeles
634,1014088,Sunny  One Bedroom Mother-In-Law unit,3865105,Michelle,City of Los Angeles,Fairfax,34.08282,-118.35294,Entire home/apt,140,30,56,2022-07-24,0.49,3,114,6,HSR20-002722,CA,Los Angeles
636,1115276,Rustic style Lodge in Silverlake/LA,6121136,Gisele,City of Los Angeles,Silver Lake,34.09417,-118.27251,Entire home/apt,100,30,115,2022-06-25,1.25,5,334,4,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
638,1226155,Silver Lake Garden Getaway,4163838,Visperd,City of Los Angeles,Silver Lake,34.08114,-118.28315,Entire home/apt,150,30,73,2022-08-01,0.65,2,89,6,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
640,1226324,Warm Quite and Cozy Private Room,6689265,Henry,City of Los Angeles,Vermont Square,34.00681,-118.31471,Private room,45,2,348,2022-08-31,3.32,2,271,75,HSR19-002636,CA,Los Angeles
646,1021051,Breezy Private Hillside Silver Lake Artist Studio,3255693,Kaia,City of Los Angeles,Silver Lake,34.1012,-118.26824,Entire home/apt,140,30,12,2022-05-09,0.1,2,35,1,HSR19-003512,CA,Los Angeles
649,1126532,Dazzling Views Apartment with Architect Designed,6092394,Tim,City of Los Angeles,Silver Lake,34.09838,-118.25438,Entire home/apt,168,30,177,2022-05-15,1.57,2,0,5,HSR19-003222,CA,Los Angeles
655,1240735,Hollywood Hills Guest Suite II,4260628,Darrell,City of Los Angeles,Hollywood Hills West,34.10051,-118.37997,Private room,175,2,370,2022-08-28,3.3,2,250,58,HSR19-001320,CA,Los Angeles
658,1240859,MY HOLLYWOOD SPACE RENTALS 3,2622454,Mary,City of Los Angeles,Hollywood,34.1,-118.32807,Private room,64,30,463,2021-11-19,4.12,10,342,1,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
661,1240876,MY HOLLYWOOD SPACE RENTALS 5,2622454,Mary,City of Los Angeles,Hollywood,34.10145,-118.32816,Private room,65,30,521,2022-08-29,4.64,10,290,3,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
663,1240889,MY HOLLYWOOD SPACE RENTALS 4,2622454,Mary,City of Los Angeles,Hollywood,34.10024,-118.32759,Private room,64,30,563,2022-04-11,5.06,10,361,2,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
665,1025161,Private Room in Elegant French Gothic Home,5644575,Rebecca,City of Los Angeles,Mid-Wilshire,34.06124,-118.34656,Private room,98,1,781,2022-09-02,6.83,1,300,87,HSR19-002492,CA,Los Angeles
666,1240919,MY HOLLYWOOD SPACE RENTALS 2,2622454,Mary,City of Los Angeles,Hollywood,34.10136,-118.32788,Private room,65,30,633,2021-12-12,5.65,10,287,1,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
668,1240928,MY HOLLYWOOD SPACE RENTALS 1,2622454,Mary,City of Los Angeles,Hollywood,34.10231,-118.32907,Private room,65,30,561,2022-08-31,5.01,10,257,2,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
672,1243943,View Hollywood Hills from Stunning Loft-Style Home,6780040,Russell,City of Los Angeles,Hollywood Hills,34.11296,-118.32389,Entire home/apt,536,5,96,2022-09-05,0.87,1,108,28,HSR19-002798,CA,Los Angeles
674,1036792,Charming Private Guest House w/Shared Pool,5704561,Louis And Ludovic,City of Los Angeles,Mid-Wilshire,34.05591,-118.32507,Entire home/apt,151,4,270,2022-08-01,2.59,1,276,33,HSR19-003174,CA,Los Angeles
675,1140691,Stunning Apartment in the Hollywood Hills,3662459,Barry,City of Los Angeles,Hollywood Hills,34.11953,-118.32508,Entire home/apt,130,30,18,2019-01-14,0.16,1,204,0,HSR19-002453,CA,Los Angeles
676,1246134,Beautiful 5 star Bedroom & Private Bath in Venice,2458647,Mark,City of Los Angeles,Venice,33.99905,-118.46518,Private room,189,3,137,2022-08-19,1.23,3,82,20,HSR21-000661,CA,Los Angeles
677,1140770,Private space Master bedroom in a 2/2 W. LA,6255849,Annabel,City of Los Angeles,Sawtelle,34.03312,-118.43858,Private room,159,30,8,2014-05-02,0.07,3,365,0,HSR21-000574,CA,Los Angeles
680,1141298,Luxury 1 Bedroom Unit-Walk to Beach -Baby Friendly,6258733,Ray,City of Los Angeles,Venice,33.97789,-118.46243,Entire home/apt,175,30,107,2022-04-17,0.96,1,244,2,Exempt - This listing is a bed and breakfast,CA,Los Angeles
684,1246974,Perfect Vacation House 2BR/2BTH in Mar Vista 90066,6582790,Barbara,City of Los Angeles,Mar Vista,34.01175,-118.43002,Entire home/apt,230,30,1,2015-09-01,0.01,1,11,0,HSR20-001875,CA,Los Angeles
685,1040399,Cozy Pool House in Los Angeles.,1136148,Clara,City of Los Angeles,Los Feliz,34.09771,-118.28621,Entire home/apt,231,3,281,2022-09-06,2.49,1,238,47,HSR19-001514,CA,Los Angeles
687,1147968,Architectural gem in Hancock Park,685976,Paul,City of Los Angeles,Hancock Park,34.08019,-118.32747,Entire home/apt,175,30,114,2019-09-02,1.06,1,0,0,HSR19-002207,CA,Los Angeles
688,1249253,CHARMING+HIP LOS FELIZ LITTLE HOUSE,819926,Coco And Jon,City of Los Angeles,Los Feliz,34.10681,-118.27555,Entire home/apt,105,30,286,2020-09-01,2.57,1,0,0,HSR19-005091,CA,Los Angeles
689,1153772,Malibu Studio Enchanted Sea Cottage,6323112,Antoinette,Other Cities,Malibu,34.00876,-118.81379,Private room,330,3,169,2022-08-28,1.66,3,222,31,STR20-0076,CA,Los Angeles
690,1042878,Studio/Guest House,5741839,Sima,City of Los Angeles,Mar Vista,34.00868,-118.45281,Entire home/apt,190,3,98,2022-08-17,0.85,1,365,24,HSR21-002392,CA,Los Angeles
